Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-2407.565	-2594.359	186.7934	1.254298	0.4698033	5.600719
6	-2421.463	-2608.357	186.8936	1.335696	0.4398569	5.529986
12	-2424.51	-2608.428	183.9183	1.105202	0.5771878	7.148684
18	-2413.097	-2600.176	187.0782	1.548302	0.7332166	5.068457
24	-2412.924	-2600.985	188.0614	1.484551	0.6815492	4.592823
30	-2424.881	-2613.892	189.0117	1.714372	0.5813597	4.004574
36	-2418.951	-2605.945	186.994	1.239259	0.3931169	5.576042
42	-2416.617	-2603.098	186.4807	1.441711	0.4498057	5.688689
48	-2417.279	-2607.005	189.7258	1.485486	0.4498057	3.848895
54	-2418.915	-2606.185	187.2699	1.485486	0.3704035	5.313409
60	-2404.588	-2591.923	187.3351	1.280052	0.2922776	5.484956
66	-2407.7	-2594.531	186.8306	1.508284	0.239352	5.709859
72	-2407.514	-2595.179	187.6642	1.414149	0.2561588	5.278762
78	-2410.52	-2594.675	184.1545	1.094475	0.2611688	7.352744
84	-2416.154	-2600.197	184.0423	1.07221	0.4032629	7.257355
90	-2429.526	-2609.573	180.0471	0.9962318	0.3797554	9.447831
96	-2424.11	-2605.399	181.2888	0.8749849	0.4998625	8.739786
102	-2425.56	-2606.05	180.4901	1.020846	0.3646433	9.216949
108	-2404.155	-2585.3	181.1455	0.9975373	0.3865392	8.859044
114	-2404.751	-2588.215	183.4642	1.059459	0.3559777	7.624676
120	-2401.134	-2580.625	179.4907	1.162916	0.3569299	9.677982
126	-2406.018	-2590.733	184.7156	1.215643	0.5383791	6.691511
132	-2415.349	-2601.53	186.1811	1.111778	0.5346873	5.955293
138	-2411.937	-2595.44	183.5036	1.111778	0.3507304	7.581507
144	-2416.879	-2601.334	184.4554	1.111778	0.5418384	6.885056
150	-2423.453	-2609.36	185.9071	1.397656	0.7070105	5.814731
156	-2419.64	-2605.884	186.2438	1.270283	0.5259014	5.842097
162	-2417.29	-2601.768	184.4783	1.263081	0.3789337	6.945765
168	-2411.422	-2595.908	184.4855	1.053389	0.4897842	6.945765
174	-2403.196	-2585.926	182.7298	1.053389	0.4298121	7.943284
180	-2406.013	-2588.243	182.2306	0.9630312	0.625602	8.090356
186	-2413.124	-2596.477	183.3526	1.040595	0.6861038	7.405062
192	-2415.164	-2600.366	185.2012	1.040595	0.3696482	6.685863
198	-2413.082	-2597.208	184.1264	0.9972912	0.3793921	7.277495
204	-2421.639	-2607.837	186.1979	1.233866	0.2749681	6.155216
210	-2424.289	-2613.155	188.8659	1.316411	0.5144502	4.372271
216	-2413.503	-2597.981	184.4782	1.190021	0.2615063	7.127118
222	-2416.914	-2603.277	186.3628	1.117005	0.3849339	5.997169
228	-2425.885	-2612.359	186.4738	1.301097	0.2539461	5.997169
234	-2419.168	-2601.815	182.6473	1.115993	0.5184155	7.872654
240	-2407.569	-2592.299	184.7302	1.070705	0.4460296	6.845369
246	-2409.91	-2594.867	184.9562	1.132739	0.4460296	6.689843
252	-2406.307	-2592.211	185.9045	1.179981	0.523295	6.07884
258	-2404.775	-2590.03	185.2554	1.13025	0.4874623	6.490401
264	-2410.708	-2593.678	182.9699	1.095167	0.5756195	7.663868
270	-2410.442	-2592.683	182.2407	1.113725	0.3599184	8.244275
276	-2407.6	-2592.138	184.5371	1.084357	0.3708889	7.01912
282	-2416.98	-2603.362	186.3813	1.411971	0.3377994	5.879155
288	-2422.302	-2610.011	187.7094	1.462766	0.5438471	4.912208
294	-2425.787	-2613.15	187.3623	1.352074	0.3472009	5.362596
300	-2423.408	-2612.617	189.2086	1.541354	0.6010085	3.974405
306	-2433.748	-2623.02	189.2724	1.408251	0.6501336	3.974405
312	-2422.724	-2611.084	188.3599	1.43043	0.7146088	4.431199
318	-2420.439	-2608.882	188.4431	1.341958	0.6603285	4.474482
324	-2413.934	-2600.101	186.1664	1.552961	0.3050809	5.959355
330	-2403.77	-2589.936	186.1664	1.233951	0.5960077	5.845773
336	-2399.232	-2586.66	187.4284	1.294053	0.5398553	5.165299
342	-2406.336	-2595.183	188.8471	1.512905	0.7243344	4.101508
348	-2415.399	-2603.582	188.1831	1.368556	0.3546727	4.88997
354	-2419.268	-2608.371	189.1035	1.668764	0.5445663	4.010173
360	-2408.049	-2597.168	189.1191	1.370056	0.3285732	4.395904
